Timestamp,Interface,Traffic Type,RX_Bytes/s,TX_Bytes/s
2025-06-07 13:22:05,uesimtun0,Browsing,0,0
2025-06-07 13:22:05,uesimtun2,Video,0,0
2025-06-07 13:22:05,uesimtun1,IoT,0,0
2025-06-07 13:22:06,uesimtun0,Browsing,0,0
2025-06-07 13:22:06,uesimtun2,Video,0,0
2025-06-07 13:22:06,uesimtun1,IoT,0,0
2025-06-07 13:22:07,uesimtun0,Browsing,0,0
2025-06-07 13:22:07,uesimtun2,Video,0,0
2025-06-07 13:22:07,uesimtun1,IoT,0,0
2025-06-07 13:22:08,uesimtun0,Browsing,0,0
2025-06-07 13:22:08,uesimtun2,Video,0,0
2025-06-07 13:22:08,uesimtun1,IoT,0,0
2025-06-07 13:22:09,uesimtun0,Browsing,0,0
2025-06-07 13:22:09,uesimtun2,Video,0,0
2025-06-07 13:22:09,uesimtun1,IoT,0,0
2025-06-07 13:22:10,uesimtun0,Browsing,0,0
2025-06-07 13:22:10,uesimtun2,Video,0,0
2025-06-07 13:22:10,uesimtun1,IoT,0,0
2025-06-07 13:22:11,uesimtun0,Browsing,0,0
2025-06-07 13:22:11,uesimtun2,Video,0,0
2025-06-07 13:22:11,uesimtun1,IoT,0,0
2025-06-07 13:22:12,uesimtun0,Browsing,0,0
2025-06-07 13:22:12,uesimtun2,Video,0,0
2025-06-07 13:22:12,uesimtun1,IoT,0,0
2025-06-07 13:22:13,uesimtun0,Browsing,0,0
2025-06-07 13:22:13,uesimtun2,Video,0,0
2025-06-07 13:22:13,uesimtun1,IoT,0,0
2025-06-07 13:22:14,uesimtun0,Browsing,0,0
2025-06-07 13:22:14,uesimtun2,Video,0,0
2025-06-07 13:22:14,uesimtun1,IoT,0,0
2025-06-07 13:22:15,uesimtun0,Browsing,0,0
2025-06-07 13:22:15,uesimtun2,Video,0,0
2025-06-07 13:22:15,uesimtun1,IoT,0,84
2025-06-07 13:22:16,uesimtun0,Browsing,0,0
2025-06-07 13:22:16,uesimtun2,Video,0,0
2025-06-07 13:22:16,uesimtun1,IoT,0,0
2025-06-07 13:22:17,uesimtun0,Browsing,0,60
2025-06-07 13:22:17,uesimtun2,Video,0,0
2025-06-07 13:22:17,uesimtun1,IoT,0,0
2025-06-07 13:22:18,uesimtun0,Browsing,0,60
2025-06-07 13:22:18,uesimtun2,Video,0,0
2025-06-07 13:22:18,uesimtun1,IoT,0,0
2025-06-07 13:22:19,uesimtun0,Browsing,0,60
2025-06-07 13:22:19,uesimtun2,Video,0,0
2025-06-07 13:22:19,uesimtun1,IoT,0,0
2025-06-07 13:22:20,uesimtun0,Browsing,0,60
2025-06-07 13:22:20,uesimtun2,Video,0,0
2025-06-07 13:22:20,uesimtun1,IoT,0,0
2025-06-07 13:22:21,uesimtun0,Browsing,0,60
2025-06-07 13:22:21,uesimtun2,Video,0,0
2025-06-07 13:22:21,uesimtun1,IoT,0,0
2025-06-07 13:22:22,uesimtun0,Browsing,0,60
2025-06-07 13:22:22,uesimtun2,Video,0,0
2025-06-07 13:22:22,uesimtun1,IoT,0,0
2025-06-07 13:22:23,uesimtun0,Browsing,0,0
2025-06-07 13:22:23,uesimtun2,Video,0,0
2025-06-07 13:22:23,uesimtun1,IoT,0,0
2025-06-07 13:22:24,uesimtun0,Browsing,0,60
2025-06-07 13:22:24,uesimtun2,Video,0,0
2025-06-07 13:22:24,uesimtun1,IoT,0,0
2025-06-07 13:22:25,uesimtun0,Browsing,0,0
2025-06-07 13:22:25,uesimtun2,Video,0,0
2025-06-07 13:22:25,uesimtun1,IoT,0,0
2025-06-07 13:22:26,uesimtun0,Browsing,0,0
2025-06-07 13:22:26,uesimtun2,Video,0,0
2025-06-07 13:22:26,uesimtun1,IoT,0,0
2025-06-07 13:22:27,uesimtun0,Browsing,0,0
2025-06-07 13:22:27,uesimtun2,Video,0,0
2025-06-07 13:22:27,uesimtun1,IoT,0,0
2025-06-07 13:22:28,uesimtun0,Browsing,0,60
2025-06-07 13:22:28,uesimtun2,Video,0,0
2025-06-07 13:22:28,uesimtun1,IoT,0,0
2025-06-07 13:22:29,uesimtun0,Browsing,0,0
2025-06-07 13:22:29,uesimtun2,Video,0,0
2025-06-07 13:22:29,uesimtun1,IoT,0,0
2025-06-07 13:22:30,uesimtun0,Browsing,0,0
2025-06-07 13:22:30,uesimtun2,Video,0,0
2025-06-07 13:22:30,uesimtun1,IoT,0,84
2025-06-07 13:22:31,uesimtun0,Browsing,0,0
2025-06-07 13:22:31,uesimtun2,Video,0,0
2025-06-07 13:22:31,uesimtun1,IoT,0,0
2025-06-07 13:22:32,uesimtun0,Browsing,0,0
2025-06-07 13:22:32,uesimtun2,Video,0,0
2025-06-07 13:22:32,uesimtun1,IoT,0,0
2025-06-07 13:22:33,uesimtun0,Browsing,0,0
2025-06-07 13:22:33,uesimtun2,Video,0,0
2025-06-07 13:22:33,uesimtun1,IoT,0,0
2025-06-07 13:22:34,uesimtun0,Browsing,0,0
2025-06-07 13:22:34,uesimtun2,Video,0,0
2025-06-07 13:22:34,uesimtun1,IoT,0,0
2025-06-07 13:22:35,uesimtun0,Browsing,0,0
2025-06-07 13:22:35,uesimtun2,Video,0,0
2025-06-07 13:22:35,uesimtun1,IoT,0,0
2025-06-07 13:22:36,uesimtun0,Browsing,0,60
2025-06-07 13:22:36,uesimtun2,Video,0,0
2025-06-07 13:22:36,uesimtun1,IoT,0,0
2025-06-07 13:22:37,uesimtun0,Browsing,0,0
2025-06-07 13:22:37,uesimtun2,Video,0,0
2025-06-07 13:22:37,uesimtun1,IoT,0,0
2025-06-07 13:22:38,uesimtun0,Browsing,0,0
2025-06-07 13:22:38,uesimtun2,Video,0,0
2025-06-07 13:22:38,uesimtun1,IoT,0,0
2025-06-07 13:22:39,uesimtun0,Browsing,0,0
2025-06-07 13:22:39,uesimtun2,Video,0,0
2025-06-07 13:22:39,uesimtun1,IoT,0,0
2025-06-07 13:22:40,uesimtun0,Browsing,0,0
2025-06-07 13:22:40,uesimtun2,Video,0,0
2025-06-07 13:22:40,uesimtun1,IoT,0,0
2025-06-07 13:22:41,uesimtun0,Browsing,0,0
2025-06-07 13:22:41,uesimtun2,Video,0,0
2025-06-07 13:22:41,uesimtun1,IoT,0,0
2025-06-07 13:22:42,uesimtun0,Browsing,0,0
2025-06-07 13:22:42,uesimtun2,Video,0,0
2025-06-07 13:22:42,uesimtun1,IoT,0,0
2025-06-07 13:22:43,uesimtun0,Browsing,0,0
2025-06-07 13:22:43,uesimtun2,Video,0,0
2025-06-07 13:22:43,uesimtun1,IoT,0,0
2025-06-07 13:22:44,uesimtun0,Browsing,0,0
2025-06-07 13:22:44,uesimtun2,Video,0,0
2025-06-07 13:22:44,uesimtun1,IoT,0,0
2025-06-07 13:22:45,uesimtun0,Browsing,0,0
2025-06-07 13:22:45,uesimtun2,Video,0,0
2025-06-07 13:22:45,uesimtun1,IoT,0,0
2025-06-07 13:22:46,uesimtun0,Browsing,0,0
2025-06-07 13:22:46,uesimtun2,Video,0,0
2025-06-07 13:22:46,uesimtun1,IoT,0,0
2025-06-07 13:22:47,uesimtun0,Browsing,0,0
2025-06-07 13:22:47,uesimtun2,Video,0,0
2025-06-07 13:22:47,uesimtun1,IoT,0,0
2025-06-07 13:22:48,uesimtun0,Browsing,0,0
2025-06-07 13:22:48,uesimtun2,Video,0,0
2025-06-07 13:22:48,uesimtun1,IoT,0,0
2025-06-07 13:22:49,uesimtun0,Browsing,0,0
2025-06-07 13:22:49,uesimtun2,Video,0,0
2025-06-07 13:22:49,uesimtun1,IoT,0,0
2025-06-07 13:22:50,uesimtun0,Browsing,0,0
2025-06-07 13:22:50,uesimtun2,Video,0,0
2025-06-07 13:22:50,uesimtun1,IoT,0,0
2025-06-07 13:22:51,uesimtun0,Browsing,0,0
2025-06-07 13:22:51,uesimtun2,Video,0,0
2025-06-07 13:22:51,uesimtun1,IoT,0,0
2025-06-07 13:22:52,uesimtun0,Browsing,0,60
2025-06-07 13:22:52,uesimtun2,Video,0,0
2025-06-07 13:22:52,uesimtun1,IoT,0,0
2025-06-07 13:22:53,uesimtun0,Browsing,0,0
2025-06-07 13:22:53,uesimtun2,Video,0,0
2025-06-07 13:22:53,uesimtun1,IoT,0,0
2025-06-07 13:22:54,uesimtun0,Browsing,0,0
2025-06-07 13:22:54,uesimtun2,Video,0,0
2025-06-07 13:22:54,uesimtun1,IoT,0,0
2025-06-07 13:22:55,uesimtun0,Browsing,0,0
2025-06-07 13:22:55,uesimtun2,Video,0,0
2025-06-07 13:22:55,uesimtun1,IoT,0,0
2025-06-07 13:22:56,uesimtun0,Browsing,0,0
2025-06-07 13:22:56,uesimtun2,Video,0,0
2025-06-07 13:22:56,uesimtun1,IoT,0,0
2025-06-07 13:22:57,uesimtun0,Browsing,0,0
2025-06-07 13:22:57,uesimtun2,Video,0,0
2025-06-07 13:22:57,uesimtun1,IoT,0,0
2025-06-07 13:22:58,uesimtun0,Browsing,0,0
2025-06-07 13:22:58,uesimtun2,Video,0,0
2025-06-07 13:22:58,uesimtun1,IoT,0,0
2025-06-07 13:22:59,uesimtun0,Browsing,0,0
2025-06-07 13:22:59,uesimtun2,Video,0,0
2025-06-07 13:22:59,uesimtun1,IoT,0,0
2025-06-07 13:23:00,uesimtun0,Browsing,0,0
2025-06-07 13:23:00,uesimtun2,Video,0,0
2025-06-07 13:23:00,uesimtun1,IoT,0,0
2025-06-07 13:23:01,uesimtun0,Browsing,0,0
2025-06-07 13:23:01,uesimtun2,Video,0,0
2025-06-07 13:23:01,uesimtun1,IoT,0,0
2025-06-07 13:23:02,uesimtun0,Browsing,0,0
2025-06-07 13:23:02,uesimtun2,Video,0,0
2025-06-07 13:23:02,uesimtun1,IoT,0,0
2025-06-07 13:23:03,uesimtun0,Browsing,0,0
2025-06-07 13:23:03,uesimtun2,Video,0,0
2025-06-07 13:23:03,uesimtun1,IoT,0,0
2025-06-07 13:23:04,uesimtun0,Browsing,0,0
2025-06-07 13:23:04,uesimtun2,Video,0,0
2025-06-07 13:23:04,uesimtun1,IoT,0,0
2025-06-07 13:23:05,uesimtun0,Browsing,0,0
2025-06-07 13:23:05,uesimtun2,Video,0,0
2025-06-07 13:23:05,uesimtun1,IoT,0,0
2025-06-07 13:23:06,uesimtun0,Browsing,0,0
2025-06-07 13:23:06,uesimtun2,Video,0,0
2025-06-07 13:23:06,uesimtun1,IoT,0,0
2025-06-07 13:23:07,uesimtun0,Browsing,0,0
2025-06-07 13:23:07,uesimtun2,Video,0,0
2025-06-07 13:23:07,uesimtun1,IoT,0,0
2025-06-07 13:23:08,uesimtun0,Browsing,0,0
2025-06-07 13:23:08,uesimtun2,Video,0,0
2025-06-07 13:23:08,uesimtun1,IoT,0,0
2025-06-07 13:23:09,uesimtun0,Browsing,0,0
2025-06-07 13:23:09,uesimtun2,Video,0,0
2025-06-07 13:23:09,uesimtun1,IoT,0,0
2025-06-07 13:23:10,uesimtun0,Browsing,0,0
2025-06-07 13:23:10,uesimtun2,Video,0,0
2025-06-07 13:23:10,uesimtun1,IoT,0,0
2025-06-07 13:23:11,uesimtun0,Browsing,0,0
2025-06-07 13:23:11,uesimtun2,Video,0,0
2025-06-07 13:23:11,uesimtun1,IoT,0,0
2025-06-07 13:23:12,uesimtun0,Browsing,0,0
2025-06-07 13:23:12,uesimtun2,Video,0,0
2025-06-07 13:23:12,uesimtun1,IoT,0,0
2025-06-07 13:23:13,uesimtun0,Browsing,0,0
2025-06-07 13:23:13,uesimtun2,Video,0,0
2025-06-07 13:23:13,uesimtun1,IoT,0,0
2025-06-07 13:23:14,uesimtun0,Browsing,0,0
2025-06-07 13:23:14,uesimtun2,Video,0,0
2025-06-07 13:23:14,uesimtun1,IoT,0,0
2025-06-07 13:23:15,uesimtun0,Browsing,0,0
2025-06-07 13:23:15,uesimtun2,Video,0,0
2025-06-07 13:23:15,uesimtun1,IoT,0,0
2025-06-07 13:23:16,uesimtun0,Browsing,0,0
2025-06-07 13:23:16,uesimtun2,Video,0,0
2025-06-07 13:23:16,uesimtun1,IoT,0,0
2025-06-07 13:23:17,uesimtun0,Browsing,0,0
2025-06-07 13:23:17,uesimtun2,Video,0,0
2025-06-07 13:23:17,uesimtun1,IoT,0,0
2025-06-07 13:23:18,uesimtun0,Browsing,0,0
2025-06-07 13:23:18,uesimtun2,Video,0,0
2025-06-07 13:23:18,uesimtun1,IoT,0,0
2025-06-07 13:23:19,uesimtun0,Browsing,0,0
2025-06-07 13:23:19,uesimtun2,Video,0,0
2025-06-07 13:23:19,uesimtun1,IoT,0,0
2025-06-07 13:23:20,uesimtun0,Browsing,0,0
2025-06-07 13:23:20,uesimtun2,Video,0,0
2025-06-07 13:23:20,uesimtun1,IoT,0,0
2025-06-07 13:23:21,uesimtun0,Browsing,0,0
2025-06-07 13:23:21,uesimtun2,Video,0,0
2025-06-07 13:23:21,uesimtun1,IoT,0,0
2025-06-07 13:23:22,uesimtun0,Browsing,0,0
2025-06-07 13:23:22,uesimtun2,Video,0,84
2025-06-07 13:23:22,uesimtun1,IoT,0,0
2025-06-07 13:23:23,uesimtun0,Browsing,0,0
2025-06-07 13:23:23,uesimtun2,Video,0,0
2025-06-07 13:23:23,uesimtun1,IoT,0,0
2025-06-07 13:23:24,uesimtun0,Browsing,0,0
2025-06-07 13:23:24,uesimtun2,Video,0,0
2025-06-07 13:23:24,uesimtun1,IoT,0,0
2025-06-07 13:23:25,uesimtun0,Browsing,0,60
2025-06-07 13:23:25,uesimtun2,Video,0,0
2025-06-07 13:23:25,uesimtun1,IoT,0,0
2025-06-07 13:23:26,uesimtun0,Browsing,0,0
2025-06-07 13:23:26,uesimtun2,Video,0,0
2025-06-07 13:23:26,uesimtun1,IoT,0,0
2025-06-07 13:23:27,uesimtun0,Browsing,0,0
2025-06-07 13:23:27,uesimtun2,Video,0,0
2025-06-07 13:23:27,uesimtun1,IoT,0,0
2025-06-07 13:23:28,uesimtun0,Browsing,0,0
2025-06-07 13:23:28,uesimtun2,Video,0,0
2025-06-07 13:23:28,uesimtun1,IoT,0,0
2025-06-07 13:23:29,uesimtun0,Browsing,0,0
2025-06-07 13:23:29,uesimtun2,Video,0,0
2025-06-07 13:23:29,uesimtun1,IoT,0,0
2025-06-07 13:23:30,uesimtun0,Browsing,0,0
2025-06-07 13:23:30,uesimtun2,Video,0,0
2025-06-07 13:23:30,uesimtun1,IoT,0,0
2025-06-07 13:23:31,uesimtun0,Browsing,0,0
2025-06-07 13:23:31,uesimtun2,Video,0,0
2025-06-07 13:23:31,uesimtun1,IoT,0,0
2025-06-07 13:23:32,uesimtun0,Browsing,0,0
2025-06-07 13:23:32,uesimtun2,Video,0,0
2025-06-07 13:23:32,uesimtun1,IoT,0,0
2025-06-07 13:23:33,uesimtun0,Browsing,0,0
2025-06-07 13:23:33,uesimtun2,Video,0,0
2025-06-07 13:23:33,uesimtun1,IoT,0,0
2025-06-07 13:23:34,uesimtun0,Browsing,0,0
2025-06-07 13:23:34,uesimtun2,Video,0,0
2025-06-07 13:23:34,uesimtun1,IoT,0,0
2025-06-07 13:23:35,uesimtun0,Browsing,0,0
2025-06-07 13:23:35,uesimtun2,Video,0,0
2025-06-07 13:23:35,uesimtun1,IoT,0,0
2025-06-07 13:23:36,uesimtun0,Browsing,0,0
2025-06-07 13:23:36,uesimtun2,Video,0,0
2025-06-07 13:23:36,uesimtun1,IoT,0,0
2025-06-07 13:23:37,uesimtun0,Browsing,0,0
2025-06-07 13:23:37,uesimtun2,Video,0,84
2025-06-07 13:23:37,uesimtun1,IoT,0,0
2025-06-07 13:23:38,uesimtun0,Browsing,0,0
2025-06-07 13:23:38,uesimtun2,Video,0,0
2025-06-07 13:23:38,uesimtun1,IoT,0,0
2025-06-07 13:23:39,uesimtun0,Browsing,0,0
2025-06-07 13:23:39,uesimtun2,Video,0,0
2025-06-07 13:23:39,uesimtun1,IoT,0,0
2025-06-07 13:23:40,uesimtun0,Browsing,0,0
2025-06-07 13:23:40,uesimtun2,Video,0,0
2025-06-07 13:23:40,uesimtun1,IoT,0,0
2025-06-07 13:23:41,uesimtun0,Browsing,0,0
2025-06-07 13:23:41,uesimtun2,Video,0,0
2025-06-07 13:23:41,uesimtun1,IoT,0,0
2025-06-07 13:23:42,uesimtun0,Browsing,0,0
2025-06-07 13:23:42,uesimtun2,Video,0,0
2025-06-07 13:23:42,uesimtun1,IoT,0,0
2025-06-07 13:23:43,uesimtun0,Browsing,0,0
2025-06-07 13:23:43,uesimtun2,Video,0,0
2025-06-07 13:23:43,uesimtun1,IoT,0,0
2025-06-07 13:23:44,uesimtun0,Browsing,0,0
2025-06-07 13:23:44,uesimtun2,Video,0,0
2025-06-07 13:23:44,uesimtun1,IoT,0,0
2025-06-07 13:23:45,uesimtun0,Browsing,0,0
2025-06-07 13:23:45,uesimtun2,Video,0,0
2025-06-07 13:23:45,uesimtun1,IoT,0,0
2025-06-07 13:23:46,uesimtun0,Browsing,0,0
2025-06-07 13:23:46,uesimtun2,Video,0,0
2025-06-07 13:23:46,uesimtun1,IoT,0,0
2025-06-07 13:23:47,uesimtun0,Browsing,0,0
2025-06-07 13:23:47,uesimtun2,Video,0,0
2025-06-07 13:23:47,uesimtun1,IoT,0,0
2025-06-07 13:23:48,uesimtun0,Browsing,0,0
2025-06-07 13:23:48,uesimtun2,Video,0,0
2025-06-07 13:23:48,uesimtun1,IoT,0,0
2025-06-07 13:23:49,uesimtun0,Browsing,0,0
2025-06-07 13:23:49,uesimtun2,Video,0,0
2025-06-07 13:23:49,uesimtun1,IoT,0,0
2025-06-07 13:23:50,uesimtun0,Browsing,0,0
2025-06-07 13:23:50,uesimtun2,Video,0,0
2025-06-07 13:23:50,uesimtun1,IoT,0,0
2025-06-07 13:23:51,uesimtun0,Browsing,0,0
2025-06-07 13:23:51,uesimtun2,Video,0,0
2025-06-07 13:23:51,uesimtun1,IoT,0,0
2025-06-07 13:23:52,uesimtun0,Browsing,0,0
2025-06-07 13:23:52,uesimtun2,Video,0,84
2025-06-07 13:23:52,uesimtun1,IoT,0,0
